ID,present,WC_alt,WC_bio1,WC_bio11,WC_bio10,WC_bio4,ER_tri,ER_topoWet,WC_bio12,WC_bio7,lon,lat
1,1,891,13.399999618530273,8,20,47.77000045776367,93.2699966430664,8.510000228881836,653,26,-119.546318,34.512897
2,1,278,8,-4.199999809265137,19.299999237060547,90.5,28.989999771118164,10.180000305175781,1165,37.900001525878906,-73.487938,41.855269
3,1,407,13.899999618530273,8.199999809265137,20.100000381469727,47.7400016784668,68.45999908447266,9.050000190734863,998,27.100000381469727,-122.469252,38.405276
4,1,1710,8.899999618530273,2.0999999046325684,17.100000381469727,60.31999969482422,125.29000091552734,8.359999656677246,986,30.899999618530273,-119.656268,37.53688
5,1,1710,8.899999618530273,2.0999999046325684,17.100000381469727,60.31999969482422,125.29000091552734,8.359999656677246,986,30.899999618530273,-119.651216,37.532802
6,1,271,6.900000095367432,-5.800000190734863,18.600000381469727,94.2699966430664,35.61000061035156,10.119999885559082,1139,40.20000076293945,-72.334859,42.676148
7,1,208,8.300000190734863,-4,19.600000381469727,91.0999984741211,31.100000381469727,10.25,1107,38.400001525878906,-73.587452,41.945878
8,1,701,10.399999618530273,3.299999952316284,18.399999618530273,60.150001525878906,82.5199966430664,8.920000076293945,569,32.599998474121094,-122.718742,42.182445
9,1,2365,15.600000381469727,10.199999809265137,20,38.810001373291016,104.87999725341797,8.579999923706055,446,26,-100.964944,25.234229
10,1,262,7.5,-5,19,92.38999938964844,28.989999771118164,10.260000228881836,1179,38.79999923706055,-72.384017,42.341462
11,1,296,7.300000190734863,-5.400000095367432,19,94.23999786376953,59.91999816894531,9.1899995803833,1102,39.5,-73.198478,42.741742
12,1,800,4.300000190734863,-6.699999809265137,14.699999809265137,83.62000274658203,46.380001068115234,9.239999771118164,646,37.20000076293945,-120.080308,51.94483
13,1,701,10.399999618530273,3.299999952316284,18.399999618530273,60.150001525878906,82.5199966430664,8.920000076293945,569,32.599998474121094,-122.714538,42.182453
14,1,316,5.900000095367432,-7.300000190734863,18,97.44000244140625,47.5,9.819999694824219,1056,41.5,-72.557037,43.625645
15,1,297,6.300000190734863,-6.599999904632568,18.299999237060547,95.87999725341797,44.36000061035156,9.8100004196167,1070,40.599998474121094,-71.91492,43.418043
16,1,249,5.900000095367432,-7.099999904632568,18,97.87000274658203,7.920000076293945,12.529999732971191,782,40,-84.491811,45.346295
17,1,742,13.699999809265137,8.600000381469727,19.899999618530273,45.18000030517578,100.93000030517578,8.539999961853027,604,26.299999237060547,-119.975538,34.757858
18,1,15,21,14.300000190734863,27,49.83000183105469,2.75,13.020000457763672,1302,25.799999237060547,-81.649672,29.17925
19,1,399,7.900000095367432,2.5999999046325684,13.899999618530273,44.9900016784668,44.88999938964844,9.3100004196167,1340,20.700000762939453,-123.60302,48.46262
20,1,1578,16.700000762939453,8.800000190734863,23.5,57.54999923706055,120.36000061035156,7.800000190734863,443,29.700000762939453,-103.301006,29.279028
21,1,3450,0.30000001192092896,-5.5,7.699999809265137,53.40999984741211,131.14999389648438,7.869999885559082,764,26.5,-118.475084,36.653296
22,1,211,8.5,-3.700000047683716,19.700000762939453,90.31999969482422,40.959999084472656,9.789999961853027,1138,37.900001525878906,-73.535463,41.808984
23,1,249,14.399999618530273,8.300000190734863,20.600000381469727,49.22999954223633,63.29999923706055,9.199999809265137,926,28.700000762939453,-122.430341,38.445147
24,1,407,13.899999618530273,8.199999809265137,20.100000381469727,47.7400016784668,68.45999908447266,9.050000190734863,998,27.100000381469727,-122.424577,38.401282
25,1,424,13.699999809265137,7.900000095367432,20,48.2599983215332,75.73999786376953,8.869999885559082,1057,27.600000381469727,-122.566744,38.465449
26,1,2447,12.899999618530273,9.399999618530273,15.600000381469727,24.309999465942383,235.41000366210938,7.199999809265137,595,21.299999237060547,-100.355684,25.312027
27,1,1235,0.800000011920929,-11.399999618530273,12.399999618530273,92.470001220703125,155,7.380000114440918,1703,36,-71.327688,44.301308
28,1,472,11.600000381469727,1,21.700000762939453,79.779998779296875,45.869998931884766,9.920000076293945,1091,34.900001525878906,-78.856475,38.031697
29,1,2270,13.600000381469727,9.800000190734863,16.600000381469727,27.049999237060547,225.41000366210938,7.440000057220459,538,21.5,-100.434497,25.445675
30,1,760,11.600000381469727,1.899999976158142,20.600000381469727,72.69000244140625,81.91999816894531,8.609999656677246,1428,33.29999923706055,-83.484174,35.705096
31,1,484,14.800000190734863,9.899999618530273,20.5,41.900001525878906,71.339996337890625,9.149999618530273,565,25.100000381469727,-119.902023,34.586393
32,1,307,7,-8.800000190734863,21,115.06999969482422,6.599999904632568,12.399999618530273,777,44.70000076293945,-92.94793,44.926145
33,1,271,10.699999809265137,4.699999809265137,17.399999618530273,50.08000183105469,44.43000030517578,10.40999984741211,1294,26.399999618530273,-123.117222,43.974722
34,1,2109,16.600000381469727,11.100000381469727,21.200000762939453,40.34000015258789,67.33000183105469,9.420000076293945,424,26.299999237060547,-100.816701,25.243966
35,1,14,15.399999618530273,11.699999809265137,19.100000381469727,28.350000381469727,3.6700000762939453,11.0600004196167,409,19.399999618530273,-119.8398,34.403457
36,1,710,15.199999809265137,8.699999809265137,22.799999237060547,55.720001220703125,106.33999633789062,8.300000190734863,450,29.100000381469727,-118.802063,34.551753
37,1,2449,14.5,9.600000381469727,18.399999618530273,34.869998931884766,110.68000030517578,8.220000267028809,454,24.5,-100.871588,25.251404
38,1,409,9.800000190734863,-1.5,20.5,84.93000030517578,32.560001373291016,10.5600004196167,1095,36.099998474121094,-79.614484,39.977880999999996
